Lab100,Subject,"Session 1
 Mean Hold Time","Session 2
 Mean Hold Time","Session 3
 Mean Hold Time","Session 4
 Mean Hold Time","Session 5
 Mean Hold Time","Session 6
 Mean Hold Time","Session 7
 Mean Hold Time","Session 8
 Mean Hold Time"
29,s042,77.985,97.816,96.839,86.803,86.438,94.979,84.243,85.455
30,s044,61.097,62.379,68.3,65.638,65.997,68.767,66.174,63.631
31,s046,93.655,107.747,92.629,95.864,89.456,81.289,98.19,97.725
32,s047,80.21,83.459,79.654,89.506,97.524,89.911,100.821,88.714
33,s048,88.227,87.261,86.791,97.828,94.538,95.658,90.049,89.456
34,s049,101.01,100.257,106.257,101.879,98.286,96.911,96.929,94.78
35,s050,87.311,87.975,86.511,86.372,88.669,83.435,78.765,79.595
36,s051,76.165,82.749,75.695,78.171,88.95,82.295,82.646,74.607
37,s052,90.086,89.199,86.015,76.198,75.328,84.811,81.958,78.1
38,s053,92.121,88.716,86.199,81.746,78.969,74.95,84.246,85.151
39,s054,88.526,88.59,93.33,97.967,83.794,104.806,86.644,81.426
40,s055,86.521,97.9,97.795,95.449,97.61,100.488,99.475,107.617
41,s056,98.763,93.07,96.385,84.227,89.588,104.754,100.914,106.048
42,s057,81.077,89.005,82.795,86.418,81.718,84.533,83.006,88.668
43,s058,96.746,108.986,109.052,109.453,107.13,107.05,102.437,110.357
44,s059,63.788,67.119,66.951,66.063,65.693,67.466,66.853,65.897
45,s074,93.556,106.519,108.646,109.871,111.882,104.393,111.839,114.344
46,s075,80.349,82.005,89.275,99.401,95.908,90.682,84.823,86.74
47,s076,57.615,63.108,59.218,61.384,71.164,68.159,63.862,69.615
48,s077,77.214,82.417,80.116,81.832,82.252,74.608,77.127,78.64
49,s078,77.622,73.014,79.701,80.608,83.145,81.697,83.481,83.071
50,s079,81.474,91.824,93.635,94.771,95.828,97.488,101.685,91.507
51,s080,80.526,90.064,89.406,92.194,89.083,93.839,92.275,84.398
52,s081,76.062,79.192,82.248,89.718,84.377,79.388,92.107,73.188
53,s082,106.171,107.008,108.967,122.003,121.583,116.557,115.185,119.091
54,s083,99.249,100.62,107.903,102.007,101.466,107.565,104.253,94.334
55,s088,80.52,88.261,89.371,99.917,83.649,93.181,92.719,93.289
56,s111,63.527,74.14,82.192,86.834,66.605,67.767,70.402,73.431
57,s120,115.709,106.607,100.247,107.925,100.149,100.671,112.734,112.814
58,s132,98.627,102.604,108.866,106.109,121.18,109.028,118.54,153.524
59,s133,120.179,116.095,112.522,113.105,119.455,125.919,114.327,109.453
60,s134,78.856,81.31,84.066,80.987,88.362,81.967,83.207,85.064
61,s135,99.053,96.858,97.81,103.057,101.215,97.079,99.731,99.441
62,s137,106.55,97.963,99.28,104.408,106.654,110.796,101.062,109.208
63,s138,84.917,72.529,82.685,73.064,74.185,75.122,74.662,71.785
64,s142,84.867,90.356,96.098,99.209,98.169,101.245,97.539,98.596
65,s143,150.507,149.091,132.561,163.282,156.858,175.782,163.411,144.261
66,s144,112.01,120.971,119.931,113.374,108.598,117.223,116.352,102.925
67,s145,85.952,92.543,98.221,101.85,96.244,91.233,101.971,89.156
68,s146,115.165,104.698,102.458,101.425,96.477,97.293,89.209,94.265
69,s147,71.249,76.527,86.955,87.148,84.481,77.927,75.033,68.76
70,s148,100.591,97.335,93.306,105.353,93.059,89.664,90.784,93.097
71,s151,107.327,120.119,101.967,112.423,107.94,109.539,103.129,107.217
72,s152,131.94,140.357,140.091,146.366,159.978,143.952,135.914,136.108
73,s153,95.963,101.755,102.728,101.91,103.511,100.6,102.815,114.402
74,s154,79.46,85.498,81.667,84.462,73.864,73.253,79.62,80.48
75,s155,116.908,118.916,122.879,117.116,111.541,119.63,112.036,113.605
76,s156,101.145,104.323,115.644,113.632,120.084,121.305,123.564,127.983
77,s157,80.717,74.983,68.406,77.455,71.641,77.211,77.193,80.93
78,s158,120.945,126.491,121.241,123.489,128.44,127.987,121.141,124.943
79,s160,87.256,85.516,82.23,81.183,88.075,84.573,88.951,90.422
80,s161,96.796,103.408,111.511,110.663,117.991,112.404,126.337,127.333
81,s162,87.127,86.051,91.965,81.058,89.98,89.162,94.048,86.159
82,s303,55.976,55.421,57.136,56.063,53.312,53.174,59.59,58.299
83,s304,70.811,71.267,73.26,69.254,68.18,71.945,67.417,66.409
84,s305,64.806,70.147,72.027,72.314,74.768,72.232,72.701,80.26
85,s306,76.415,76.481,78.415,79.748,81.722,88.346,82.937,88.01
86,s308,101.895,90.676,97.805,96.507,95.317,88.923,92.987,93.387
87,s309,81.161,79.92,78.727,77.344,80.35,80.995,78.564,82.469
88,s310,122.171,120.713,114.74,128.119,127.242,129.883,119.711,125.103
89,s311,73.576,64.83,72.845,71.827,70.174,74.077,71.728,70.951
90,s312,89.041,89.204,85.753,82.069,83.215,85.962,79.489,80.837
91,s314,111.622,109.877,101.928,104.724,109.473,110.826,113.992,96.219
92,s316,86.445,82.137,79.294,85.663,82.015,80.637,83.276,83.637
93,s317,121.831,117.173,117.114,102.279,114.513,97.0,100.654,91.334
94,s318,100.007,90.384,93.717,93.506,95.534,94.923,100.027,99.186
95,s319,67.494,60.846,62.037,67.445,62.992,62.038,63.931,65.253
96,s320,67.949,78.527,72.787,72.371,65.967,71.222,74.935,70.825
97,s321,67.157,67.553,70.089,65.745,64.777,67.706,70.859,74.876
98,s322,79.376,75.063,76.878,78.918,77.304,86.341,83.881,80.549
99,s323,81.275,86.295,90.948,89.261,81.858,87.519,90.059,89.685
