sessionIndex,001,H.g,H.r,H.e,H.a,H.t,H.space,H.f,H.r.1,H.i,H.e.1,H.n,H.d,H.s,H.space.1,H.a.1,H.r.2,H.e.2,H.space.2,H.g.1,H.o,H.o.1,H.d.1,H.space.3,H.t.1,H.o.2,H.space.4,H.h,H.a.2,H.v,H.e.3,H.Return
003,std,33.441,49.029,52.021,45.39,30.015,33.548,23.261,25.528,20.51,21.204,25.324,42.227,37.219,31.347,43.395,42.794,31.286,31.21,22.82,13.752,18.213,24.598,29.167,24.834,34.493,33.422,23.525,35.343,42.661,28.625,25.653
003,max,312.0,1249.7,480.8,342.1,244.8,385.7,287.2,273.8,181.8,249.2,203.1,381.2,428.1,288.3,422.4,328.6,265.6,274.1,191.8,213.4,210.2,288.6,237.6,257.7,295.2,284.3,204.3,293.8,350.1,245.5,236.6
003,min,8.7,13.2,4.8,1.4,11.1,11.9,2.7,3.2,6.6,5.8,2.1,4.5,12.4,13.2,5.0,4.8,7.9,10.8,1.4,4.5,5.3,4.5,10.1,3.5,2.7,6.9,7.2,7.4,6.6,5.0,10.1
003,range,303.3,1236.5,476.0,340.7,233.7,373.8,284.5,270.6,175.2,243.4,201.0,376.7,415.7,275.1,417.4,323.8,257.7,263.3,190.4,208.9,204.9,284.1,227.5,254.2,292.5,277.4,197.1,286.4,343.5,240.5,226.5
003,skewness,2.009,2.225,0.805,0.575,0.775,1.391,0.895,0.487,0.979,0.687,0.925,0.707,0.684,1.047,0.973,0.463,0.869,1.261,0.584,0.835,1.057,0.756,1.007,0.624,1.083,0.824,0.884,0.528,0.964,0.701,1.163
003,kurtosis,5.683,28.73,0.583,0.171,0.935,3.832,2.961,0.958,1.679,1.287,1.016,0.699,1.519,1.528,1.956,0.123,1.495,2.404,0.426,5.223,2.563,1.021,1.577,0.434,1.465,0.952,1.067,0.144,1.019,0.739,2.254
003,25% quartile,65.4,77.8,74.4,83.9,67.3,77.6,59.4,64.6,57.8,65.4,62.5,76.2,82.8,76.0,82.6,78.4,75.5,74.1,65.7,45.4,58.8,67.5,69.9,64.6,64.2,71.2,62.8,78.7,66.8,68.6,62.8
003,50% quartile,78.4,110.3,110.1,115.85,86.1,96.3,70.7,78.9,68.9,77.6,76.5,106.6,108.7,92.9,111.1,113.2,94.5,91.3,79.7,52.3,68.3,82.1,86.8,80.5,81.8,90.0,75.5,104.6,90.7,86.8,74.9
003,75% quartile,97.225,142.5,147.5,150.4,107.9,115.8,84.9,97.4,84.2,92.9,95.8,136.4,133.7,113.4,142.0,141.8,115.4,109.8,96.6,61.5,80.2,101.0,105.5,99.2,109.8,115.3,92.6,130.1,129.9,108.2,91.0
003,mode,73.1,63.1,61.0,74.7,76.8,92.6,66.8,78.6,60.2,74.7,64.9,64.9,98.7,83.4,66.8,59.4,84.2,92.9,71.0,50.7,60.7,68.1,75.2,83.4,61.2,73.1,65.2,72.8,65.2,64.4,72.6
003,median,78.4,110.3,110.1,115.85,86.1,96.3,70.7,78.9,68.9,77.6,76.5,106.6,108.7,92.9,111.1,113.2,94.5,91.3,79.7,52.3,68.3,82.1,86.8,80.5,81.8,90.0,75.5,104.6,90.7,86.8,74.9
004,mean,86.852,116.345,117.523,121.707,90.852,104.118,73.531,81.369,74.423,79.285,83.683,112.629,111.84,101.39,117.648,115.179,98.877,98.349,83.605,53.484,73.394,86.442,93.39,84.484,92.96,98.307,83.367,107.886,102.957,91.621,83.472
004,std,34.825,47.912,53.155,45.928,30.731,34.239,23.799,25.481,22.001,21.558,26.464,44.79,38.956,32.559,46.715,43.201,31.867,32.73,23.729,13.894,20.367,25.674,30.349,25.82,36.982,33.891,26.13,36.057,43.72,29.578,27.927
004,max,366.4,466.6,371.0,479.5,227.7,303.8,226.1,218.5,207.8,242.9,239.8,396.1,441.3,500.4,343.8,347.2,284.2,289.6,204.4,159.8,227.1,251.9,361.5,244.5,345.1,340.2,248.1,358.7,393.3,223.7,241.1
004,min,4.0,7.4,7.4,4.0,7.4,9.5,1.4,1.4,11.6,6.4,6.1,6.1,7.4,11.6,10.6,9.3,2.1,10.6,10.8,3.2,1.9,8.0,3.2,5.8,1.4,5.0,3.2,9.5,7.2,4.6,1.9
004,range,362.4,459.2,363.6,475.5,220.3,294.3,224.7,217.1,196.2,236.5,233.7,390.0,433.9,488.8,333.2,337.9,282.1,279.0,193.6,156.6,225.2,243.9,358.3,238.7,343.7,335.2,244.9,349.2,386.1,219.1,239.2
004,skewness,2.012,1.056,0.827,0.615,0.674,1.24,0.949,0.468,1.001,0.662,0.872,0.804,0.674,1.199,1.027,0.376,0.795,1.233,0.691,0.365,1.162,0.841,1.011,0.654,1.115,0.853,0.909,0.767,0.92,0.676,1.047
004,kurtosis,5.613,1.652,0.521,0.436,0.5,2.725,2.917,0.792,1.664,1.153,0.922,0.915,1.307,4.293,1.649,-0.068,1.197,2.505,0.643,1.827,3.464,1.02,2.588,0.392,1.688,1.385,1.386,1.109,0.695,0.545,1.577
004,25% quartile,65.2,77.6,74.1,84.7,67.5,80.5,59.4,64.6,59.1,64.1,63.9,77.3,82.6,78.4,82.675,79.1,75.375,75.8,66.2,44.6,59.9,67.5,72.3,64.9,65.2,73.9,64.6,80.7,67.6,69.1,64.4
004,50% quartile,78.4,110.3,110.35,117.2,87.1,99.5,71.2,78.6,70.3,76.5,78.9,108.7,109.3,96.05,110.7,115.3,95.6,93.65,80.7,52.5,70.2,82.0,89.7,81.0,83.9,93.7,78.9,105.3,92.6,88.4,78.4
004,75% quartile,97.6,143.5,149.3,151.625,110.3,120.3,84.7,96.0,86.6,92.1,98.9,139.4,136.7,118.3,145.9,144.4,117.7,113.725,97.6,62.0,84.125,100.925,109.5,100.3,114.6,117.7,98.4,129.3,130.9,110.1,97.1
004,mode,69.1,63.1,62.8,73.9,66.0,73.6,68.1,68.9,65.2,69.9,61.5,69.7,111.6,87.1,83.4,58.8,80.5,97.1,74.7,50.7,64.4,71.0,78.4,73.9,66.8,82.6,74.7,75.2,71.0,78.4,67.3
004,median,78.4,110.3,110.35,117.2,87.1,99.5,71.2,78.6,70.3,76.5,78.9,108.7,109.3,96.05,110.7,115.3,95.6,93.65,80.7,52.5,70.2,82.0,89.7,81.0,83.9,93.7,78.9,105.3,92.6,88.4,78.4
